Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
mhb-detox-tea,MHB Detox Tea,"""MHB Detox Tea"" is a specially crafted herbal infusion designed to support the body's natural detoxification processes and promote overall wellness. Blended with a curated selection of herbs known for their detoxifying properties, this tea offers a refreshing and invigorating way to cleanse and rejuvenate from within.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Handpicked ingredients such as dandelion root, ginger, turmeric, and green tea are thoughtfully combined to create a synergistic blend that supports liver function, aids digestion, and helps flush out toxins from the body. These ingredients are rich in antioxidants, vitamins, and minerals, contributing to improved energy levels, clearer skin, and enhanced overall vitality.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">MHB Detox Tea is free from artificial additives, preservatives, and caffeine, making it a gentle and natural option for those looking to reset and refresh their body. Whether enjoyed as part of a daily wellness routine or during a dedicated detox program, this tea provides a delicious and nourishing way to support your body's natural cleansing processes.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Indulge in the soothing and cleansing benefits of MHB Detox Tea and embark on a journey to renewed vitality and well-being. Sip your way to a healthier you with this delicious herbal blend that promotes detoxification and supports your body's natural ability to thrive.",MEMOONA HEALTH & BEAUTY (M.H.B),"Food, Beverages & Tobacco > Beverages > Tea & Infusions","",tea,true,Title,Default Title,,,,,"",200.0,shopify,19,deny,manual,1650.00,,true,true,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/detoxtea.png?v=1707134557,1,"",false,,,,,,,,,,,,,,,kg,,1200.00,true,,,active
mhb-detox-tea,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/detoxtea.jpg?v=1707134575,2,"",,,,,,,,,,,,,,,,,,,,,,
mhb-2-in-1-shampoo-conditioner-250ml,MHB 2 in 1 Shampoo + Conditioner 250ml,"""MHB 2 in 1 Shampoo + Conditioner 250ml"" is a versatile hair care product that combines the cleansing power of shampoo with the conditioning benefits of a conditioner in one convenient bottle. Formulated with care, this all-in-one solution is designed to simplify your hair care routine while providing nourishment and hydration to your locks.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">This 2 in 1 formula is crafted with a blend of gentle cleansers that effectively remove dirt, excess oil, and product buildup from the scalp and hair strands, leaving them clean and refreshed. Simultaneously, the conditioner component works to hydrate and moisturize the hair, leaving it soft, smooth, and manageable.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Enriched with essential vitamins, minerals, and nourishing botanical extracts, MHB 2 in 1 Shampoo + Conditioner helps improve the overall health and appearance of your hair, making it look healthier and more vibrant with regular use. The balanced formula ensures that your hair receives the care it needs without weighing it down or leaving any residue.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Ideal for individuals with busy lifestyles or those seeking a streamlined hair care routine, MHB 2 in 1 Shampoo + Conditioner offers the convenience of two products in one, saving you time and effort without compromising on quality. The 250ml size is perfect for home use or for travel, ensuring that you can enjoy clean, nourished hair wherever you go. Experience the benefits of effortless hair care with MHB 2 in 1 Shampoo + Conditioner, and achieve hair that looks and feels its best every day.",MEMOONA HEALTH & BEAUTY (M.H.B),,"",HERBAL SHAMPOO,true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,775.00,,true,true,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/mhbherbalshampoo2in1.jpg?v=1706711714,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,active
mhb-watermelon-scrub-50g,MHB Watermelon Scrub - 50g,"""MHB Watermelon Scrub"" is a luxurious exfoliating scrub formulated to revitalize and nourish the skin, leaving it feeling smooth, soft, and refreshed. Inspired by the invigorating properties of watermelon, this scrub is infused with natural extracts and essential oils to provide a rejuvenating skincare experience.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">The key ingredient, watermelon extract, is rich in vitamins and antioxidants, helping to hydrate the skin and protect it from environmental stressors. Combined with fine exfoliating particles, such as sugar or salt crystals, the scrub gently buffs away dead skin cells, revealing a brighter and more radiant complexion underneath.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">MHB Watermelon Scrub is delicately scented with the refreshing aroma of watermelon, creating a sensory experience that uplifts the senses and invigorates the mind. The formula is also enriched with nourishing oils like coconut or jojoba oil, which help to moisturize and soften the skin, leaving it feeling silky smooth and supple after each use.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">This indulgent scrub is suitable for all skin types and can be used 2-3 times a week to maintain smooth and healthy-looking skin. Packaged in a convenient jar or tube, MHB Watermelon Scrub is a must-have addition to your skincare routine, offering a spa-like experience in the comfort of your own home. Treat yourself to the revitalizing benefits of MHB Watermelon Scrub and enjoy a radiant glow that radiates from within.",MEMOONA HEALTH & BEAUTY (M.H.B),,"",SHEA BUTTER,true,Title,Default Title,,,,,"",200.0,shopify,25,deny,manual,1550.00,,true,true,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/mhbwatermelonscrub.jpg?v=1706711585,1,"",false,,,,,,,,,,,,,,,kg,,1200.00,true,,,active
mhb-feminine-intimate-wash-250ml,MHB Feminine Intimate Wash - 250ml,"""MHB Feminine Intimate Wash"" is a premium personal care product designed specifically for the intimate hygiene needs of women. Crafted with utmost care and attention to detail, this gentle yet effective wash is formulated to maintain the delicate pH balance of the intimate area, keeping it fresh, clean, and free from discomfort.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Infused with natural and soothing ingredients like aloe vera, chamomile, and tea tree oil, MHB Feminine Intimate Wash offers a refreshing and calming experience with every use. It is free from harsh chemicals, parabens, and artificial fragrances, ensuring a safe and gentle cleansing routine for daily use.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">The carefully curated formula of MHB Feminine Intimate Wash helps to prevent irritation, itching, and unpleasant odors, promoting overall intimate health and confidence. Its mild and non-irritating nature makes it suitable for all skin types, even for those with sensitive skin.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Packaged in a convenient and discreet bottle, MHB Feminine Intimate Wash is the perfect addition to every woman's personal care regimen, providing a sense of cleanliness, comfort, and well-being. Trust MHB Feminine Intimate Wash for a refreshing and rejuvenating experience that prioritizes the intimate health and hygiene of women everywhere.",MEMOONA HEALTH & BEAUTY (M.H.B),,"","intimate, self care",true,Title,Default Title,,,,,"",0.0,shopify,15,deny,manual,1675.00,,true,true,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/mhbintimatewash.jpg?v=1706711463,1,"",false,,,,,,,,,,,,,,,kg,,1200.00,true,,,active
mhb-journey-box,MHB Journey Box,"<p>1. Apple Cider vinegar Sulfate free Shampoo</p>
<p>2. Midnight Miracle Retinol Cream</p>
<p>3. Shea Butter Cream Spf-50</p>
<p>4. Rose Moisturizer 120ml</p>",MHB - MEMOONA HEALTH & BEAUTY,,"","FACE CARE, GLOW & SHINE, SULFATE FREE BUNDLE",true,Title,Default Title,,,,,"",0.0,shopify,10,deny,manual,5250.00,,true,false,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/IMG-20240102-WA0020.jpg?v=1704210045,1,"",false,,,,,,,,,,,,,,,kg,,3500.00,true,,,active
mhb-anti-hairfall-bundle,MHB Anti-Hairfall Bundle - Shampoo - Conditioner - Hair Mask - Hair Oil - Hair Serum (Pack of 5),"<p>1. Red Onion Black Seed Oil Sulfate-Free Shampoo  - 250ml</p>
<p>2. Red Onion Conditioner with Biotin - Paraben free - 250ml</p>
<p>3. Argan Oil Hair Mask 250ml</p>
<p>4. Hair Growth Oil 125ml</p>
<p>5. Hair Serum 220ml</p>",MEMOONA HEALTH & BEAUTY (M.H.B),Health & Beauty > Personal Care > Hair Care,"",SULFATE FREE BUNDLE,true,Title,Default Title,,,,,"",500.0,shopify,10,continue,manual,4700.00,,true,true,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/AntiHairFallBundle.jpg?v=1702997568,1,MHB Anti-Hairfall Bundle - Shampoo - Conditioner - Hair Mask - Hair Oil - Hair Serum (Pack of 5),false,,,,,,,,,,,,,,,kg,,2800.00,true,,,active
mhb-anti-hairfall-bundle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/MHBREDONIONBUNDLE2.jpg?v=1702997567,2,1. Red Onion Black Seed Oil Sulfate-Free Shampoo  - 250ml  2. Red Onion Conditioner with Biotin - Paraben free - 250ml,,,,,,,,,,,,,,,,,,,,,,
mhb-anti-hairfall-bundle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-65311bd4bbde767f503585d2.jpg?v=1702997566,3,1. Red Onion Black Seed Oil Sulfate-Free Shampoo  - 250ml  2. Red Onion Conditioner with Biotin - Paraben free - 250ml,,,,,,,,,,,,,,,,,,,,,,
mhb-anti-hairfall-bundle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-655dd2face7bc0376718a7f6.png?v=1702997567,4,Hair Growth Oil 125ml,,,,,,,,,,,,,,,,,,,,,,
